DKT-003	SUCCESS	DKT-003_20260211T134056Z_ac778e9	0	accepted_on_create
DKT-004	SUCCESS	DKT-004_20260211T135013Z_657160f	0	accepted_on_create
DKT-005	SUCCESS	DKT-005_20260211T140915Z_e31fe5b	0	accepted_on_create
DKT-006	SUCCESS	DKT-006_20260211T141832Z_9507e94	0	accepted_on_create
DKT-007	SUCCESS	DKT-007_20260211T143434Z_67473c3	0	accepted_on_create
DKT-008	SUCCESS	DKT-008_20260211T144436Z_5f3293f	0	accepted_on_create
DKT-009	SUCCESS	DKT-009_20260211T145323Z_1dd8969	0	accepted_on_create
DKT-010	SUCCESS	DKT-010_20260211T150225Z_7c3db79	0	accepted_on_create
DKT-011	SUCCESS	DKT-011_20260211T151141Z_fe1044c	0	accepted_on_create
DKT-012	SUCCESS	DKT-012_20260211T152043Z_074a9b0	0	accepted_on_create
DKT-013	SUCCESS	DKT-013_20260211T152730Z_ba087a7	0	accepted_on_create
DKT-014	SUCCESS	DKT-014_20260211T153647Z_b3257c4	0	accepted_on_create
DKT-015	SUCCESS	DKT-015_20260211T155119Z_843a887	0	accepted_on_create
DKT-016	SUCCESS	DKT-016_20260211T160336Z_22ef426	0	accepted_on_create
DKT-017	SUCCESS	DKT-017_20260211T161523Z_cdc83ef	0	accepted_on_create
DKT-018	SUCCESS	DKT-018_20260211T162409Z_e01c993	0	accepted_on_create
